mae,mse,rmse,r2,train_time_sec,predict_time_sec,model
50498.13391700195,4892179677.24577,69944.11824625263,0.6266677229415003,0.2654,0.023463299963623285,Linear Regression
50504.23949168049,4893080979.995196,69950.56096983924,0.6265989426779038,0.1179,0.022703399998135865,Ridge Regression
50498.26672044333,4892197525.452134,69944.24583518028,0.6266663609082221,9.1465,0.024924699915573,Lasso Regression
42980.900920542634,4547683042.867975,67436.51120029842,0.6529569685204073,0.4816,0.06264160003047436,Decision Tree
32960.187932076624,2547845256.3057632,50476.18504112373,0.8055686965968438,1.3139,0.062382500036619604,Random Forest
37040.875894289864,2957158508.4802737,54379.761938429576,0.7743331618156356,6.2091,0.02826910000294447,Gradient Boosting
86968.97970031579,13652723203.851255,116844.8681108899,-0.04186734298621375,27.4483,13.947581400047056,SVR
